,Date,Período,Região,Estado,Variantes,Variantes relevantes,Classificação,Frequência
821,2021-01,Jan 2021,Norte,Rondônia,P.1 (Gama),P.1 (Gama),VOC/VOI,5
822,2021-01,Jan 2021,Norte,Rondônia,P.2,P.2,VOC/VOI,5
823,2021-01,Jan 2021,Norte,Roraima,P.1 (Gama),P.1 (Gama),VOC/VOI,11
824,2021-01,Jan 2021,Norte,Roraima,P.2,P.2,VOC/VOI,1
825,2021-01,Jan 2021,Norte,Tocantins,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
826,2021-01,Jan 2021,Norte,Tocantins,P.1 (Gama),P.1 (Gama),VOC/VOI,2
827,2021-01,Jan 2021,Norte,Tocantins,P.2,P.2,VOC/VOI,1
828,2021-01,Jan 2021,Sudeste,Espírito Santo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,7
829,2021-01,Jan 2021,Sudeste,Espírito Santo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,10
830,2021-01,Jan 2021,Sudeste,Espírito Santo,B.1.1.7 (Alfa),B.1.1.7 (Alfa),VOC/VOI,1
