Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-12-01,Dez 2020,Nordeste,Maranhão,Outros,B.1.1.332,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Maranhão,Outros,N.10,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Maranhão,Outros,N.9,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Nordeste,Maranhão,Outros,P.2,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Nordeste,Paraíba,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,B.1,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,B.1.1,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,B.1.1.28,Outras,Não VOC/VOI,8
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,P.2,Outras,Não VOC/VOI,10
2020-12-01,Dez 2020,Nordeste,Paraíba,Outros,P.7,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.214,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.371,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.258,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,FIOCRUZ,P.2,Outras,Não VOC/VOI,15
2020-12-01,Dez 2020,Nordeste,Pernambuco,Outros,B.1.212,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Pernambuco,Outros,P.2,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,P.2,Outras,Não VOC/VOI,7
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,Outras,Não VOC/VOI,4
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,Não VOC/VOI,5
2020-12-01,Dez 2020,Norte,Acre,Outros,P.2,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.1.33,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.160.25,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Amapá,Outros,P.2,Outras,Não VOC/VOI,14
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,12
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,Não VOC/VOI,11
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,P.1 (Gama),P.1 (Gama),VOC/VOI,57
2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,Não VOC/VOI,10
2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,10
2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,21
2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,4
2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,7
2020-12-01,Dez 2020,Norte,Amazonas,Outros,N.9,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,74
2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1.15 (Gama),P.1.* (Gama),VOC/VOI,1
2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,36
2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.33,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Norte,Pará,Outros,N.9,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,14
2020-12-01,Dez 2020,Norte,Tocantins,Outros,P.2,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,9
2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.7,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,5
2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.372,Outras,Não VOC/VOI,1
