,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
368,2020-12,Dez 2020,Norte,B.1.1.33,B.1.1.33,16
369,2020-12,Dez 2020,Norte,B.1.1.378,Outras,18
370,2020-12,Dez 2020,Norte,B.1.160.25,Outras,1
371,2020-12,Dez 2020,Norte,N.9,Outras,7
372,2020-12,Dez 2020,Norte,P.1 (Gama),P.1 (Gama),118
373,2020-12,Dez 2020,Norte,P.2,P.2,78
374,2020-12,Dez 2020,Sudeste,B.1,Outras,5
375,2020-12,Dez 2020,Sudeste,B.1.1,B.1.1,2
376,2020-12,Dez 2020,Sudeste,B.1.1.28,B.1.1.28,49
377,2020-12,Dez 2020,Sudeste,B.1.1.33,B.1.1.33,27
378,2020-12,Dez 2020,Sudeste,B.1.1.332,Outras,2
379,2020-12,Dez 2020,Sudeste,B.1.1.97,Outras,1
380,2020-12,Dez 2020,Sudeste,B.1.407,Outras,1
381,2020-12,Dez 2020,Sudeste,B.1.546,Outras,1
382,2020-12,Dez 2020,Sudeste,N.9,Outras,8
383,2020-12,Dez 2020,Sudeste,P.2,P.2,172
384,2020-12,Dez 2020,Sudeste,P.7,Outras,8
385,2020-12,Dez 2020,Sul,B.1.1,B.1.1,2
386,2020-12,Dez 2020,Sul,B.1.1.161,Outras,1
387,2020-12,Dez 2020,Sul,B.1.1.28,B.1.1.28,29
388,2020-12,Dez 2020,Sul,B.1.1.33,B.1.1.33,9
389,2020-12,Dez 2020,Sul,B.1.499,Outras,1
390,2020-12,Dez 2020,Sul,P.1 (Gama),P.1 (Gama),1
391,2020-12,Dez 2020,Sul,P.2,P.2,100
392,2020-12,Dez 2020,Sul,P.7,Outras,21
393,2021-01,Jan 2021,Centro-oeste,B.1.1,B.1.1,1
394,2021-01,Jan 2021,Centro-oeste,B.1.1.28,B.1.1.28,8
395,2021-01,Jan 2021,Centro-oeste,B.1.1.33,B.1.1.33,4
396,2021-01,Jan 2021,Centro-oeste,B.1.1.332,Outras,2
397,2021-01,Jan 2021,Centro-oeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),9
398,2021-01,Jan 2021,Centro-oeste,B.1.212,Outras,1
399,2021-01,Jan 2021,Centro-oeste,N.4,Outras,2
400,2021-01,Jan 2021,Centro-oeste,N.9,Outras,2
401,2021-01,Jan 2021,Centro-oeste,P.1 (Gama),P.1 (Gama),46
402,2021-01,Jan 2021,Centro-oeste,P.2,P.2,88
403,2021-01,Jan 2021,Centro-oeste,P.7,Outras,3
404,2021-01,Jan 2021,Nordeste,B.1,Outras,1
405,2021-01,Jan 2021,Nordeste,B.1.1,B.1.1,16
406,2021-01,Jan 2021,Nordeste,B.1.1.236,Outras,1
407,2021-01,Jan 2021,Nordeste,B.1.1.267,Outras,1
408,2021-01,Jan 2021,Nordeste,B.1.1.28,B.1.1.28,22
409,2021-01,Jan 2021,Nordeste,B.1.1.33,B.1.1.33,17
410,2021-01,Jan 2021,Nordeste,B.1.1.332,Outras,3
411,2021-01,Jan 2021,Nordeste,B.1.1.379,Outras,1
412,2021-01,Jan 2021,Nordeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),5
413,2021-01,Jan 2021,Nordeste,B.1.234,Outras,1
414,2021-01,Jan 2021,Nordeste,B.1.524,Outras,1
415,2021-01,Jan 2021,Nordeste,N.10,Outras,9
416,2021-01,Jan 2021,Nordeste,N.9,Outras,26
417,2021-01,Jan 2021,Nordeste,P.1 (Gama),P.1 (Gama),76
418,2021-01,Jan 2021,Nordeste,P.1.3,Outras,1
419,2021-01,Jan 2021,Nordeste,P.2,P.2,210
420,2021-01,Jan 2021,Nordeste,P.7,Outras,5
421,2021-01,Jan 2021,Norte,B.1,Outras,2
422,2021-01,Jan 2021,Norte,B.1.1,B.1.1,3
423,2021-01,Jan 2021,Norte,B.1.1.28,B.1.1.28,25
424,2021-01,Jan 2021,Norte,B.1.1.33,B.1.1.33,12
