Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1.33,203
2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,Outras,83
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1,3
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,24
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,64
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,Outras,2
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1,2
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.28,5
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.33,13
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,2
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,3
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1,8
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,24
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,114
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,Outras,25
2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.28,15
2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.33,13
2020-07-01,Jul 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,3
2020-07-01,Jul 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,2
2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.28,5
2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.33,2
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,1
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,2
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,6
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,9
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,1
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,1
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,3
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,47
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,18
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,Outras,5
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1,2
