,Date,Período,Estado,Linhagem,Frequência
407,2020-10,Out 2020,Pernambuco,B.1.1,12
408,2020-10,Out 2020,Pernambuco,B.1.1.28,16
409,2020-10,Out 2020,Pernambuco,B.1.1.33,23
410,2020-10,Out 2020,Pernambuco,Outras,5
411,2020-10,Out 2020,Pernambuco,P.2,13
412,2020-10,Out 2020,Piauí,B.1.1.28,2
413,2020-10,Out 2020,Piauí,Outras,2
414,2020-10,Out 2020,Rio Grande do Norte,B.1.1,2
415,2020-10,Out 2020,Rio Grande do Norte,B.1.1.28,3
416,2020-10,Out 2020,Rio Grande do Norte,B.1.1.33,3
417,2020-10,Out 2020,Rio Grande do Norte,Outras,1
418,2020-10,Out 2020,Rio Grande do Sul,B.1.1.28,33
419,2020-10,Out 2020,Rio Grande do Sul,B.1.1.33,23
420,2020-10,Out 2020,Rio Grande do Sul,Outras,3
421,2020-10,Out 2020,Rio Grande do Sul,P.2,9
422,2020-10,Out 2020,Rio de Janeiro,B.1.1,1
423,2020-10,Out 2020,Rio de Janeiro,B.1.1.28,12
424,2020-10,Out 2020,Rio de Janeiro,B.1.1.33,40
425,2020-10,Out 2020,Rio de Janeiro,Outras,1
426,2020-10,Out 2020,Rio de Janeiro,P.2,25
427,2020-10,Out 2020,São Paulo,B.1,1
428,2020-10,Out 2020,São Paulo,B.1.1,1
429,2020-10,Out 2020,São Paulo,B.1.1.28,24
430,2020-10,Out 2020,São Paulo,B.1.1.33,6
431,2020-10,Out 2020,São Paulo,Outras,1
432,2020-10,Out 2020,São Paulo,P.2,5
433,2020-10,Out 2020,Tocantins,B.1.1.28,6
434,2020-10,Out 2020,Tocantins,B.1.1.33,2
435,2020-10,Out 2020,Tocantins,P.2,1
436,2020-11,Nov 2020,Alagoas,B.1.1.28,1
437,2020-11,Nov 2020,Alagoas,Outras,1
438,2020-11,Nov 2020,Alagoas,P.2,4
439,2020-11,Nov 2020,Amapá,P.2,5
440,2020-11,Nov 2020,Amazonas,B.1,3
441,2020-11,Nov 2020,Amazonas,B.1.1,5
442,2020-11,Nov 2020,Amazonas,B.1.1.28,17
443,2020-11,Nov 2020,Amazonas,B.1.1.33,3
444,2020-11,Nov 2020,Amazonas,Outras,19
445,2020-11,Nov 2020,Amazonas,P.2,2
446,2020-11,Nov 2020,Bahia,B.1,1
447,2020-11,Nov 2020,Bahia,B.1.1.28,2
448,2020-11,Nov 2020,Bahia,B.1.1.33,4
449,2020-11,Nov 2020,Bahia,Outras,2
450,2020-11,Nov 2020,Ceará,B.1.1.28,3
451,2020-11,Nov 2020,Ceará,B.1.1.33,7
452,2020-11,Nov 2020,Ceará,P.2,2
453,2020-11,Nov 2020,Distrito Federal,B.1,1
454,2020-11,Nov 2020,Distrito Federal,B.1.1.28,1
455,2020-11,Nov 2020,Distrito Federal,P.2,2
456,2020-11,Nov 2020,Espírito Santo,B.1.1.28,2
457,2020-11,Nov 2020,Espírito Santo,B.1.1.33,9
458,2020-11,Nov 2020,Espírito Santo,P.2,7
459,2020-11,Nov 2020,Goiás,P.2,1
460,2020-11,Nov 2020,Maranhão,B.1.1,1
461,2020-11,Nov 2020,Maranhão,B.1.1.28,1
462,2020-11,Nov 2020,Maranhão,Outras,6
463,2020-11,Nov 2020,Maranhão,P.1 (Gama),1
