,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
572,2021-04,Abr 2021,Nordeste,Maranhão,P.1.2 (Gama),P.1.2 (Gama),6
573,2021-04,Abr 2021,Nordeste,Maranhão,P.1.7,P.1.7,3
574,2021-04,Abr 2021,Nordeste,Paraíba,P.1 (Gama),P.1 (Gama),24
575,2021-04,Abr 2021,Nordeste,Paraíba,P.1.7,P.1.7,1
576,2021-04,Abr 2021,Nordeste,Pernambuco,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
577,2021-04,Abr 2021,Nordeste,Pernambuco,P.1 (Gama),P.1 (Gama),29
578,2021-04,Abr 2021,Nordeste,Rio Grande do Norte,P.1 (Gama),P.1 (Gama),6
579,2021-04,Abr 2021,Nordeste,Rio Grande do Norte,P.2,P.2,2
580,2021-04,Abr 2021,Nordeste,Sergipe,P.1 (Gama),P.1 (Gama),1
581,2021-04,Abr 2021,Norte,Acre,Não VOC/VOI,Não VOC/VOI,2
582,2021-04,Abr 2021,Norte,Acre,P.1 (Gama),P.1 (Gama),20
583,2021-04,Abr 2021,Norte,Acre,P.1.1 (Gama),Não VOC/VOI,2
584,2021-04,Abr 2021,Norte,Amazonas,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
585,2021-04,Abr 2021,Norte,Amazonas,P.1 (Gama),P.1 (Gama),97
586,2021-04,Abr 2021,Norte,Amazonas,P.1.2 (Gama),P.1.2 (Gama),9
587,2021-04,Abr 2021,Norte,Amazonas,P.1.3,P.1.3,3
588,2021-04,Abr 2021,Norte,Amazonas,P.1.4,P.1.4,27
589,2021-04,Abr 2021,Norte,Amazonas,P.1.5,P.1.5,2
590,2021-04,Abr 2021,Norte,Amazonas,P.1.6,P.1.6,17
591,2021-04,Abr 2021,Norte,Pará,P.1 (Gama),P.1 (Gama),33
592,2021-04,Abr 2021,Norte,Roraima,P.1.5,P.1.5,1
593,2021-04,Abr 2021,Norte,Tocantins,P.1 (Gama),P.1 (Gama),15
594,2021-04,Abr 2021,Norte,Tocantins,P.1.1 (Gama),Não VOC/VOI,2
595,2021-04,Abr 2021,Norte,Tocantins,P.1.7,P.1.7,1
596,2021-04,Abr 2021,Sudeste,Espírito Santo,B.1.1.7 (Alfa),B.1.1.7 (Alfa),5
597,2021-04,Abr 2021,Sudeste,Espírito Santo,Não VOC/VOI,Não VOC/VOI,4
598,2021-04,Abr 2021,Sudeste,Espírito Santo,P.1 (Gama),P.1 (Gama),24
599,2021-04,Abr 2021,Sudeste,Espírito Santo,P.1 + S:P681R,P.1 + S:P681R,1
600,2021-04,Abr 2021,Sudeste,Espírito Santo,P.1.7,P.1.7,3
601,2021-04,Abr 2021,Sudeste,Espírito Santo,P.2,P.2,2
602,2021-04,Abr 2021,Sudeste,Minas Gerais,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
603,2021-04,Abr 2021,Sudeste,Minas Gerais,P.1 (Gama),P.1 (Gama),12
604,2021-04,Abr 2021,Sudeste,Minas Gerais,P.1.3,P.1.3,1
605,2021-04,Abr 2021,Sudeste,Rio de Janeiro,B.1.1.7 (Alfa),B.1.1.7 (Alfa),18
606,2021-04,Abr 2021,Sudeste,Rio de Janeiro,Não VOC/VOI,Não VOC/VOI,13
607,2021-04,Abr 2021,Sudeste,Rio de Janeiro,P.1 (Gama),P.1 (Gama),832
608,2021-04,Abr 2021,Sudeste,Rio de Janeiro,P.1.1 (Gama),Não VOC/VOI,8
609,2021-04,Abr 2021,Sudeste,Rio de Janeiro,P.1.2 (Gama),P.1.2 (Gama),34
610,2021-04,Abr 2021,Sudeste,Rio de Janeiro,P.1.7,P.1.7,2
611,2021-04,Abr 2021,Sudeste,Rio de Janeiro,P.2,P.2,7
612,2021-04,Abr 2021,Sudeste,São Paulo,B.1.1.7 (Alfa),B.1.1.7 (Alfa),97
613,2021-04,Abr 2021,Sudeste,São Paulo,B.1.351 (Beta),Não VOC/VOI,2
614,2021-04,Abr 2021,Sudeste,São Paulo,B.1.617.2 (Delta),B.1.617.2 (Delta),2
615,2021-04,Abr 2021,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,109
616,2021-04,Abr 2021,Sudeste,São Paulo,P.1 (Gama),P.1 (Gama),2205
617,2021-04,Abr 2021,Sudeste,São Paulo,P.1-like I,Não VOC/VOI,1
618,2021-04,Abr 2021,Sudeste,São Paulo,P.1.1 (Gama),Não VOC/VOI,5
619,2021-04,Abr 2021,Sudeste,São Paulo,P.1.2 (Gama),P.1.2 (Gama),41
620,2021-04,Abr 2021,Sudeste,São Paulo,P.1.3,P.1.3,2
621,2021-04,Abr 2021,Sudeste,São Paulo,P.1.7,P.1.7,14
622,2021-04,Abr 2021,Sudeste,São Paulo,P.2,P.2,19
623,2021-04,Abr 2021,Sul,Paraná,B.1.1.7 (Alfa),B.1.1.7 (Alfa),2
624,2021-04,Abr 2021,Sul,Paraná,B.1.617.2 (Delta),B.1.617.2 (Delta),3
625,2021-04,Abr 2021,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,18
626,2021-04,Abr 2021,Sul,Paraná,P.1 (Gama),P.1 (Gama),159
627,2021-04,Abr 2021,Sul,Paraná,P.1.1 (Gama),Não VOC/VOI,1
628,2021-04,Abr 2021,Sul,Paraná,P.1.2 (Gama),P.1.2 (Gama),3
