,Date,Período,Região,Estado,Linhagens relevantes,Quantidade
494,2020-12,Dez 2020,Centro-oeste,Goiás,P.2,30
495,2020-12,Dez 2020,Centro-oeste,Mato Grosso,B.1.1.28,2
496,2020-12,Dez 2020,Centro-oeste,Mato Grosso,B.1.1.33,2
497,2020-12,Dez 2020,Centro-oeste,Mato Grosso,Outras,2
498,2020-12,Dez 2020,Centro-oeste,Mato Grosso,P.2,3
499,2020-12,Dez 2020,Centro-oeste,Mato Grosso do Sul,B.1.1,1
500,2020-12,Dez 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,1
501,2020-12,Dez 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,5
502,2020-12,Dez 2020,Centro-oeste,Mato Grosso do Sul,Outras,1
503,2020-12,Dez 2020,Centro-oeste,Mato Grosso do Sul,P.2,3
504,2020-12,Dez 2020,Nordeste,Alagoas,B.1.1.28,1
505,2020-12,Dez 2020,Nordeste,Alagoas,B.1.1.33,1
506,2020-12,Dez 2020,Nordeste,Alagoas,Outras,3
507,2020-12,Dez 2020,Nordeste,Alagoas,P.2,25
508,2020-12,Dez 2020,Nordeste,Bahia,B.1.1.28,3
509,2020-12,Dez 2020,Nordeste,Bahia,Outras,2
510,2020-12,Dez 2020,Nordeste,Bahia,P.1+P.1.* (Gama),5
511,2020-12,Dez 2020,Nordeste,Bahia,P.2,6
512,2020-12,Dez 2020,Nordeste,Ceará,B.1.1,1
513,2020-12,Dez 2020,Nordeste,Ceará,B.1.1.28,4
514,2020-12,Dez 2020,Nordeste,Ceará,B.1.1.33,8
515,2020-12,Dez 2020,Nordeste,Ceará,Outras,1
516,2020-12,Dez 2020,Nordeste,Ceará,P.2,10
517,2020-12,Dez 2020,Nordeste,Maranhão,B.1.1.28,7
518,2020-12,Dez 2020,Nordeste,Maranhão,B.1.1.33,4
519,2020-12,Dez 2020,Nordeste,Maranhão,Outras,24
520,2020-12,Dez 2020,Nordeste,Maranhão,P.1+P.1.* (Gama),1
521,2020-12,Dez 2020,Nordeste,Maranhão,P.2,13
522,2020-12,Dez 2020,Nordeste,Paraíba,B.1.1,6
523,2020-12,Dez 2020,Nordeste,Paraíba,B.1.1.28,8
524,2020-12,Dez 2020,Nordeste,Paraíba,B.1.1.33,2
525,2020-12,Dez 2020,Nordeste,Paraíba,Outras,5
526,2020-12,Dez 2020,Nordeste,Paraíba,P.2,10
527,2020-12,Dez 2020,Nordeste,Pernambuco,B.1.1,1
528,2020-12,Dez 2020,Nordeste,Pernambuco,Outras,5
529,2020-12,Dez 2020,Nordeste,Pernambuco,P.2,16
530,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1,4
531,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1.28,2
532,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1.33,1
533,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,Outras,1
534,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,P.2,12
535,2020-12,Dez 2020,Norte,Acre,P.2,1
536,2020-12,Dez 2020,Norte,Amapá,B.1.1.28,1
537,2020-12,Dez 2020,Norte,Amapá,B.1.1.33,1
538,2020-12,Dez 2020,Norte,Amapá,Outras,1
539,2020-12,Dez 2020,Norte,Amapá,P.2,14
540,2020-12,Dez 2020,Norte,Amazonas,B.1.1,8
541,2020-12,Dez 2020,Norte,Amazonas,B.1.1.28,31
542,2020-12,Dez 2020,Norte,Amazonas,B.1.1.33,12
543,2020-12,Dez 2020,Norte,Amazonas,Outras,26
544,2020-12,Dez 2020,Norte,Amazonas,P.1+P.1.* (Gama),118
545,2020-12,Dez 2020,Norte,Amazonas,P.2,42
546,2020-12,Dez 2020,Norte,Pará,B.1.1,3
